date,year,week,month,season,epi_year,ili_plus,ili_plus_imputed,ili_plus_model,suppression_flag,covid_suppressed,ili_fmc,pos_pct_all,pos_count_H1,pos_count_H3,pos_count_B,pos_count_all,pos_pct_H1,pos_pct_H3,h1n1_frac,h3_frac,b_frac,dominant_strain,flunet_H1N1_count,flunet_H3_count,flunet_B_count,flunet_pos_total,flunet_specimens,flunet_positivity,rsv_count,metapneumo,hko_temp_norm,hko_rh_norm,hko_ah_norm,temp_z,ah_z,school_outbreaks,institution_outbreaks,admit_rate_0_5,admit_rate_6_11,admit_rate_12_17,admit_rate_18_49,admit_rate_50_64,admit_rate_65plus,admit_rate_all,severe_0_17,severe_18_49,severe_50_64,severe_65plus,kg_fever_pct,rche_fever_pct,aed_ili_rate,cmp_ili_rate,data_source,hko_source
2013-12-29,2014.0,1.0,12,winter,2014.0,0.0055709999999999996,,0.0055709999999999996,,False,45.0,0.1238,111.0,64.0,268.0,0.043,0.0513,0.0296,2581.3953488372094,1488.372093023256,6232.5581395348845,Influenza_B,93.0,111.0,66.0,271.0,,,,,17.8,70,10.621,-1.1886889787827726,-1.2894777015188383,0.0,2.0,1.703,0.425,0.052,0.084,0.158,0.404,0.234,0.0,1.0,3.0,1.0,,0.0009,198.0,3.86,CHP_FMC_sentinel,HKO_30yr_normals_1991_2020
2014-01-05,2014.0,2.0,1,winter,2013.0,0.00869868,,0.00869868,,False,43.8,0.1986,140.0,109.0,479.0,0.0954,0.058,0.0452,1467.5052410901467,1142.5576519916142,5020.964360587002,Influenza_B,230.0,140.0,110.0,482.0,,,,,16.3,74,10.262,-1.5084705155710996,-1.360340006977967,4.0,3.0,2.447,0.655,0.104,0.128,0.217,0.63,0.347,2.0,2.0,4.0,8.0,0.0088,0.0011,204.1,4.9,CHP_FMC_sentinel,HKO_30yr_normals_1991_2020
2014-01-12,2014.0,3.0,1,winter,2013.0,0.01139466,,0.01139466,,False,52.9,0.2154,144.0,104.0,497.0,0.1079,0.0624,0.0451,1334.569045412419,963.855421686747,4606.116774791474,Influenza_B,249.0,144.0,104.0,503.0,,,,,16.3,74,10.262,-1.5084705155710996,-1.360340006977967,23.0,2.0,2.787,1.244,0.078,0.096,0.24,0.78,0.398,2.0,3.0,3.0,5.0,0.0104,0.0012,205.0,4.27,CHP_FMC_sentinel,HKO_30yr_normals_1991_2020
2014-01-19,2014.0,4.0,1,winter,2013.0,0.011744260000000001,,0.011744260000000001,,False,50.6,0.2321,169.0,127.0,601.0,0.1178,0.0653,0.0491,1434.634974533107,1078.0984719864177,5101.867572156197,Influenza_B,305.0,169.0,128.0,602.0,,,,,16.3,74,10.262,-1.5084705155710996,-1.360340006977967,16.0,3.0,3.283,0.884,0.129,0.105,0.205,0.743,0.398,4.0,7.0,9.0,5.0,0.0127,0.0009,218.1,4.6,CHP_FMC_sentinel,HKO_30yr_normals_1991_2020
2014-01-26,2014.0,5.0,1,winter,2013.0,0.012108809999999998,,0.012108809999999998,,False,48.3,0.2507,171.0,179.0,671.0,0.12,0.0639,0.0669,1425.0,1491.6666666666667,5591.666666666667,Influenza_B,321.0,171.0,182.0,675.0,,,,,16.3,74,10.262,-1.5084705155710996,-1.360340006977967,7.0,3.0,3.314,0.687,0.311,0.174,0.334,1.062,0.512,1.0,3.0,5.0,17.0,,0.0011,254.1,0.17,CHP_FMC_sentinel,HKO_30yr_normals_1991_2020
2014-02-02,2014.0,6.0,2,winter,2013.0,0.015118949999999999,,0.015118949999999999,,False,59.5,0.2541,177.0,202.0,773.0,0.1295,0.0582,0.0664,1366.7953667953668,1559.8455598455598,5969.111969111969,Influenza_B,394.0,177.0,205.0,776.0,,,,,17.1,80,11.641,-1.337920362617325,-1.0881419032784174,0.0,4.0,3.159,0.393,0.155,0.166,0.339,1.09,0.487,2.0,8.0,5.0,15.0,,0.001,238.1,3.92,CHP_FMC_sentinel,HKO_30yr_normals_1991_2020
2014-02-09,2014.0,7.0,2,winter,2013.0,0.01034115,,0.01034115,,False,35.5,0.2913,168.0,181.0,754.0,0.1565,0.0649,0.0699,1073.4824281150159,1156.5495207667732,4817.891373801917,Influenza_B,405.0,168.0,152.0,728.0,,,,,17.1,80,11.641,-1.337920362617325,-1.0881419032784174,2.0,3.0,2.416,0.36,0.104,0.137,0.222,0.912,0.38,2.0,8.0,11.0,11.0,0.0070999999999999995,0.0006,186.1,3.39,CHP_FMC_sentinel,HKO_30yr_normals_1991_2020
2014-02-16,2014.0,8.0,2,winter,2013.0,0.0148208,,0.0148208,,False,47.2,0.314,206.0,267.0,904.0,0.1497,0.0716,0.0927,1376.0855043420174,1783.567134268537,6038.74415497662,Influenza_B,431.0,206.0,240.0,877.0,,,,,17.1,80,11.641,-1.337920362617325,-1.0881419032784174,19.0,10.0,3.314,1.276,0.233,0.102,0.257,1.062,0.48,3.0,6.0,8.0,8.0,0.011399999999999999,0.0011,200.3,2.58,CHP_FMC_sentinel,HKO_30yr_normals_1991_2020
2014-02-23,2014.0,9.0,2,winter,2013.0,0.01462387,,0.01462387,,False,47.9,0.3053,178.0,291.0,880.0,0.1426,0.0618,0.101,1248.2468443197756,2040.6732117812062,6171.107994389901,Influenza_B,411.0,178.0,244.0,834.0,,,,,17.1,80,11.641,-1.337920362617325,-1.0881419032784174,28.0,5.0,2.725,1.276,0.311,0.148,0.281,0.987,0.474,2.0,3.0,6.0,15.0,0.0128,0.0011,207.7,3.04,CHP_FMC_sentinel,HKO_30yr_normals_1991_2020
2014-03-02,2014.0,10.0,3,winter,2013.0,0.00970125,,0.00970125,,False,37.5,0.2587,131.0,291.0,651.0,0.091,0.0521,0.1157,1439.5604395604396,3197.802197802198,7153.846153846154,Influenza_B,229.0,130.0,246.0,606.0,,,,,19.5,82,13.759,-0.8262699037560021,-0.6700740398733079,17.0,9.0,2.23,0.785,0.155,0.154,0.252,0.837,0.397,0.0,4.0,9.0,9.0,0.0088,0.0011,195.2,2.87,CHP_FMC_sentinel,HKO_30yr_normals_1991_2020
