forecast_date,target,horizon,type,quantile,value
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.01,0.0
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.025,0.0
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.05,0.0
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.1,0.0
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.15,0.0
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.2,0.0
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.25,0.0
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.3,0.0
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.35,0.0
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.4,0.049051
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.45,0.184429
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.5,0.205546
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.55,0.213173
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.6,0.269378
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.65,0.420157
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.7,0.648171
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.75,0.980706
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.8,1.379852
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.85,1.756636
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.9,2.669518
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.95,3.732946
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.975,5.783666
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,quantile,0.99,7.520298
2026-03-28,gopc_ili_rate_per1000,1 wk ahead,point,NA,0.0
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.01,0.0
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.025,0.0
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.05,0.0
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.1,0.0
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.15,0.0
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.2,0.0
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.25,0.0
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.3,0.0
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.35,0.0
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.4,0.004905
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.45,0.018443
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.5,0.020555
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.55,0.021317
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.6,0.026938
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.65,0.042016
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.7,0.064817
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.75,0.098071
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.8,0.137985
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.85,0.175664
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.9,0.266952
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.95,0.373295
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.975,0.578367
2026-03-28,lab_positivity_pct,1 wk ahead,quantile,0.99,0.75203
2026-03-28,lab_positivity_pct,1 wk ahead,point,NA,0.0
